Food Name,Measure,Weight (g),Energy (kcal),Energy (kJ),Protein (g),Carbohydrate (g),Total Sugar (g),Total Dietary Fibre (g),Total Fat (g),Saturated Fat (g),Cholesterol (mg),Calcium (mg),Iron (mg),Sodium (mg),Potassium (mg),Magnesium (mg),Phosphorus (mg),Vitamin A (RAE),Folate (DFE),Vitamin C (mg),Vitamin B12 (mcg)
Granola bar hard plain,1,25,118,493,3,16,N/A,1.3,5,0.6,0,15,0.7,74,84,24,69,0.1,0.03,1.1,6
Granola bar soft chocolate chip graham and marshmallow,1,26,109,454,1,20,6,1,3,0.6,0,6,0.6,90,48,18,53,tr,0.04,0.5,3
Granola bar soft nuts and raisins,1,28,127,532,2,18,N/A,1.6,6,2.7,tr,24,0.6,71,110,25,67,0.1,0.05,1.2,8
Granola bar soft peanut butter chocolate coated,1,37,188,788,4,20,N/A,1,12,6.3,4,40,0.5,71,125,25,84,tr,0.08,2,9
Granola bar soft plain,1,28,124,519,2,19,N/A,1.3,5,2,tr,29,0.7,78,91,21,64,0.1,0.05,0.6,7
Muffin bar (Hop&Go Sweet Mornings),1,50,178,746,2,30,18,0.6,6,1,20,7,0.8,175,64,7,26,0.1,0.1,1.4,33
MadeGood chewy cholate chip,1 bar,24,100,418,2,17,6,1,3.5,1,0,20,1,10,70,15,60,50,10,5,0
#Cookies
Chocolate chip commercial,2,20,98,409,1,13,7,0.6,5,1.5,N/A,7,0.7,59,30,10,23,tr,0.05,0.7,20
Chocolate chip homemade,2,32,156,653,2,19,N/A,0.9,9,2.6,10,12,0.8,116,72,18,32,0.1,0.06,0.8,15
Chocolate chip refrigerated dough baked,2,24,118,494,1,16,N/A,0.4,5,1.9,6,7,0.6,56,48,6,18,tr,0.05,0.7,17
Chocolate coated marshmallow,2,30,129,541,1,21,14,0.6,4,2.2,tr,6,0.9,46,43,11,29,tr,0.06,0.4,11
Chocolate sandwich,2,20,93,390,1,14,8,0.6,4,1.8,0,4,2.1,97,37,10,18,tr,0.03,0.8,17
Coconut macaroons homemade,2,48,194,811,2,35,34,0.9,6,5.4,0,3,0.4,119,75,10,21,tr,0.05,0.4,2
Fig,2,32,111,466,1,23,15,1.5,2,0.4,0,20,0.9,112,66,9,20,0.1,0.07,0.8,17
Ginger snaps,2,14,58,244,1,11,3,0.3,1,0.3,0,11,0.9,92,48,7,12,tr,0.04,0.6,20
Graham crackers plain or honey,2,14,59,248,1,11,4,0.4,1,0.2,0,3,0.5,85,19,4,15,tr,0.04,0.8,9
Molasses,2,30,129,539,2,22,5,0.3,4,1,0,22,1.9,138,104,16,29,0.1,0.08,1.3,44
Oatmeal with raisins commercial,2,26,117,489,2,18,6,0.7,5,1.2,0,10,0.7,100,37,9,36,0.1,0.06,1,19
Oatmeal without raisins homemade,2,30,134,561,2,20,N/A,0.7,5,1.1,11,32,0.8,179,55,13,50,0.1,0.05,0.8,14
Peanut butter sandwich,2,28,134,560,2,18,10,0.5,6,1.4,0,15,0.7,103,54,14,53,0.1,0.07,1.6,26
Peanut butter homemade,2,40,190,794,4,24,N/A,1.5,10,1.8,12,16,0.9,207,92,16,46,0.1,0.08,2.1,32
Shortbread commercial plain,2,16,80,336,1,10,2,0.3,4,1,3,6,0.4,73,16,3,17,0.1,0.05,0.8,18
Shortbread homemade,2,33,185,773,2,19,7,0.5,12,7.3,31,6,0.7,130,20,4,20,0.1,0.08,1.3,32
Animal crackers (arrowroot social tea),2,10,45,187,1,7,1,0.2,1,0.3,0,4,0.3,39,10,2,11,tr,0.03,0.5,17
Sugar cookies commercial,2,30,143,600,2,20,11,0.2,6,1.6,15,6,0.6,107,19,4,24,0.1,0.06,1.2,25
Sugar cookies homemade,2,32,142,592,2,25,16,0.4,4,1.1,8,18,0.6,72,23,3,23,0.1,0.07,1,24
Vanilla wafers,2,12,57,237,1,9,N/A,0.2,2,0.6,0,3,0.3,37,13,1,8,tr,0.03,0.5,8
#Cakes
Angelfood commercial (25 cm diam),0.8,28,73,306,2,16,N/A,0.4,tr,tr,0,40,0.1,212,26,3,9,tr,0.14,0.6,16
Angelfood from mix (25 cm diam),0.8,50,129,538,3,29,15,0.1,tr,tr,0,42,0.1,255,68,4,116,tr,0.1,0.7,14
Banana bread homemade (11 cm X 6 cm X 1 cm),1 slice,60,196,818,3,33,N/A,0.7,6,1.3,26,13,0.8,181,80,8,35,0.1,0.12,1.4,29
Boston cream pie commercial,0.17,92,232,970,2,39,33,1.3,8,2.2,34,21,0.3,132,36,6,45,0.4,0.25,0.7,17
Brownies commercial (5 cm X 5 cm),1 square,34,138,576,2,22,12,0.7,6,1.4,6,10,0.8,106,51,11,34,0,0.07,0.9,24
Brownies homemade (5 cm X 5 cm),1 square,36,168,702,2,18,N/A,0.8,10,2.6,26,21,0.7,123,63,19,48,0.1,0.07,0.8,14
Carrot homemade with cream cheese icing (2 layer 23 cm diam),0.8,133,542,2266,5,70,52,1.5,28,3.8,73,49,1.6,201,131,10,70,0.2,0.22,2.7,57
Cheesecake commercial (15 cm diam),0.17,100,321,1342,6,26,N/A,0.4,23,9.9,55,51,0.6,207,90,11,93,tr,0.19,1.3,20
Cheesecake from mix no-bake type (20 cm diam),0.125,149,407,1702,8,53,N/A,2.8,19,9.9,43,255,0.7,564,313,28,347,0.2,0.39,2.4,57
Cheesecake plain homemade with cherry topping (20 cm diam),0.125,168,459,1920,11,55,45,0.8,23,8.8,75,65,1.6,496,146,12,124,tr,0.24,2.8,23
Chocolate from mix with icing (23 cm diam),0.8,109,362,1513,4,61,47,2,13,1.9,43,63,1.6,396,177,27,141,0.1,0.13,1.9,26
Chocolate frozen commercial with chocolate icing (1 layer 5 cm X 20 cm diam),0.17,85,282,1180,3,48,37,2,10,1,33,49,1,309,138,21,110,N/A,N/A,1,20
Chocolate homemade with icing (2 layer 23 cm diam),0.8,109,408,1706,4,67,52,1.9,16,5,28,66,2.5,253,138,34,91,0.1,0.15,2,36
Coffee cake cinnamon with crumb topping commercial,0.1,57,237,991,4,26,N/A,1.1,13,3.3,18,31,1.1,199,70,12,61,0.1,0.13,1.7,46
Coffee cake cinnamon with crumb topping from mix (20 cm X 15 cm),0.1,45,142,596,2,24,13,0.5,4,0.8,22,61,0.6,189,50,8,96,0.1,0.08,1.2,33
Fruitcake commercial,1 piece,43,139,583,1,26,13,1.6,4,0.5,2,14,0.9,116,66,7,22,tr,0.04,0.6,14
Gingerbread from mix (23 cm X 23 cm),0.11,69,212,889,3,35,22,0.8,7,1.8,22,47,2.3,315,166,11,113,0.1,0.13,1.9,28
Pound cake homemade (23 cm X 13 cm X 7.5 cm),0.1,91,391,1633,5,42,22,0.4,23,4.1,96,22,2.1,368,66,7,59,0.2,0.23,3,62
Shortcake biscuit-type homemade (4 cm X 7.5 cm diam),1,75,234,978,5,34,8,1,8,2.4,28,106,1.7,459,96,12,100,0.2,0.24,3.1,72
Sponge commercial individual shell,1,25,72,302,1,15,9,0.1,1,0.2,26,18,0.7,61,25,3,34,0,0.07,0.8,18
Sponge homemade (25 cm diam),0.8,63,187,782,5,36,N/A,0.2,3,0.8,107,26,1,144,89,6,63,0.1,0.19,1.7,33
White from mix with icing (2 layer 23 cm diam),0.8,109,363,1518,3,66,51,0.9,10,1.6,N/A,41,0.9,342,76,15,138,0.1,0.12,1.9,47
White homemade with icing (2 layer 23 cm diam),0.8,109,371,1553,3,70,56,0.3,9,2.5,1,50,1.3,205,55,5,41,0.1,0.14,1.9,33
White frozen commercial with icing (1 layer 5 cm X 20 cm diam),0.17,85,283,1184,2,52,40,1,8,1,0,32,1,266,59,12,108,N/A,N/A,1,37
Yellow from mix with icing (2 layer 23 cm diam),0.8,109,363,1519,4,64,47,0.9,11,2,46,60,1.1,338,74,15,137,0.1,0.14,2,57
#Pies
Apple commercial 2 crust (23 cm diam),0.125,125,296,1239,2,43,20,2,14,4.7,0,14,0.6,333,81,9,30,tr,0.03,0.9,54
Apple homemade 2 crust (23 cm diam),0.125,155,411,1717,4,58,N/A,2.3,19,4.7,0,11,1.7,327,122,11,43,0.2,0.17,2.7,59
Banana cream from mix no-bake type (23 cm diam),0.125,92,231,966,3,29,N/A,0.6,12,6.4,27,67,0.4,267,104,11,154,0.1,0.13,1.4,28
Butter tart,1,54,248,1038,2,29,15,0.7,14,5.6,30,22,1.1,164,109,10,35,0.1,0.1,1.5,35
Cherry commercial 2 crust (23 cm diam),0.125,125,325,1359,3,50,18,1,14,3.2,0,15,2,308,101,10,36,0.2,0.16,2.5,50
Chocolate cream commercial (20 cm diam),0.17,113,344,1436,3,38,N/A,2.3,22,5.6,6,41,1.2,154,144,24,77,tr,0.12,1.4,19
Coconut cream commercial (20 cm diam),0.17,64,191,797,1,24,23,0.8,11,4.5,0,19,0.5,163,42,13,54,tr,0.05,0.4,5
Fried pie fruit (13 cm X 10 cm),1,128,404,1692,4,55,27,3.3,21,3.1,0,28,1.6,479,83,13,55,0.2,0.14,2.7,36
Lemon meringue commercial (20 cm diam),0.17,113,303,1267,2,53,27,1.4,10,2,51,63,0.7,165,101,17,119,0.1,0.24,1.1,40
Mincemeat pie homemade 2 crust (23 cm diam),0.125,165,477,1995,4,79,47,4.3,18,4.4,0,36,2.5,419,335,23,69,0.2,0.17,2.7,59
Pecan commercial (20 cm diam),0.17,113,452,1890,5,65,32,4,21,4,36,19,1.2,479,84,20,87,0.1,0.14,1.5,61
Pumpki commercial (20 cm diam),0.17,109,229,957,4,30,15,2.9,10,1.9,22,65,1.5,307,168,16,77,0.2,0.22,1.9,35
Sugar pie homemade 1 crust,0.125,88,407,1703,3,31,18,0.5,31,17.3,84,61,1.1,81,139,13,59,0.1,0.15,1.6,34
#Other Baked Goods
Apple crisp homemade,125 mL,128,206,863,2,39,25,1.8,4,0.9,0,45,1,449,100,10,36,0.1,0.1,N/A,31
Bread pudding with raisins homemade,125 mL,106,162,677,6,24,15,0.9,5,1.8,61,124,1.2,252,228,18,111,0.1,0.26,2.1,31
Danish pastry cinnamon (11 cm diam),1,65,262,1095,5,29,13,0.8,15,3.7,14,46,1.3,241,81,12,70,0.2,0.17,2.8,60
Danish pastry fruit (11 cm diam),1,71,263,1102,4,34,20,1.3,13,3.5,81,33,1.3,251,59,11,63,0.2,0.16,2.2,49
Date squares homemade,1 square,61,226,944,3,37,N/A,2.3,8,4.7,20,21,2,241,154,23,61,0.2,0.08,1.7,31
Doughnut cake-type plain (8 cm diam),1,47,198,828,2,23,11,0.7,11,1.7,17,21,0.9,257,60,9,126,0.1,0.11,1.4,39
Doughnut cake-type plain chocolate coated (9 cm diam),1,57,270,1130,3,27,13,1.1,18,4.6,35,20,1.4,245,112,23,115,0.1,0.06,1.4,39
Doughnut yeast-leavened honey bun glazed (9 cm x 6 cm),1,60,242,1011,4,27,14,0.7,14,3.5,4,26,1.2,205,65,13,56,0.2,0.13,2.5,41
Doughnut yeast-leavened jelly filled (9 cm X 6 cm),1,85,289,1209,5,33,18,0.8,16,4.1,22,21,1.5,249,67,17,72,0.3,0.12,2.8,88
Eclairs custard filled chocolate glaze,1,100,262,1096,6,24,7,0.6,16,4.1,127,63,1.2,337,117,15,107,0.1,0.27,2.1,63
Rice Krispies Squares commercial,1 square,22,91,381,1,18,N/A,0.1,2,0.3,0,1,0.3,77,9,3,9,0.3,0.3,3.7,38
Toaster pastries (Pop-Tarts) brown sugar & cinnamon,1,50,206,862,3,34,N/A,0.5,7,1.8,0,17,2,212,57,12,67,0.2,0.29,2.8,21
Toaster pastries (Pop-Tarts) fruit frosted,1,55,215,900,2,39,20,0.4,6,1.5,0,16,3.9,387,81,13,75,0.2,0.2,N/A,39
#Vegetables
Alfalfa sprouts raw,60 mL,8,2,10,tr,tr,tr,0.2,tr,3,0.1,1,7,2,6,1,7,0,3,1,0
Artichoke hearts canned in water,1 heart,27,13,56,1,3,tr,1,tr,12,0.3,74,95,16,23,2,28,0,14,3,0
Artichoke hearts marinated in oil,1 heart,28,27,111,1,3,tr,1,2,12,0.3,79,93,16,23,2,28,0,13,3,0
Artichoke boiled drained,1 medium,120,60,251,4,13,1,4.7,tr,54,1.5,114,425,72,103,11,127,0,61,12,0
Asparagus canned drained,6 spears,108,21,85,2,3,1,1.5,1,17,2,310,186,11,46,44,532,26,104,20,0
Asparagus fresh or frozen boiled drained,6 spears,90,18,75,2,3,1,1.6,tr,18,0.7,8,178,11,46,41,489,24,128,14,0
Bean sprouts stir-fried,125 mL,66,33,137,3,7,N/A,1.2,tr,9,1.2,6,143,22,52,1,12,N/A,46,10,0
Beans lima frozen boiled drained,125 mL,95,100,417,6,18,1,4,tr,27,1.9,28,391,53,107,8,95,0,15,6,0
Beans snap (green yellow Italian) canned drained,125 mL,71,14,60,1,3,1,1.5,tr,19,0.6,187,78,9,14,16,186,0,23,2,0
Beans snap (green yellow Italian) fresh or frozen boiled drained,125 mL,71,22,94,1,5,1,1.9,tr,33,0.5,4,97,15,21,22,269,0,20,5,0
Beets pickled sliced not drained,125 mL,120,78,326,1,20,N/A,2.2,tr,13,0.5,317,177,18,20,1,7,N/A,32,3,0
Beets sliced boiled drained,125 mL,90,40,165,2,9,7,1.8,tr,14,0.7,69,274,21,34,2,19,0,72,3,0
Beets sliced canned drained,125 mL,90,28,117,1,6,5,1.9,tr,13,1.6,174,133,15,15,1,13,0,27,6,0
Belgium endive raw,1 endive,53,9,38,tr,2,N/A,1.6,tr,10,0.1,1,112,5,14,1,9,N/A,20,1,0
Bok Choy Pak-Choi shredded boiled drained,125 mL,90,11,45,1,2,1,0.9,tr,84,0.9,31,333,10,26,190,2289,0,37,23,0
Broccoli chopped boiled drained,125 mL,82,29,120,2,6,1,2,tr,33,0.6,34,241,17,55,81,973,0,89,53,0
Broccoli chopped raw,125 mL,46,16,66,1,3,1,1.1,tr,22,0.3,15,147,10,31,15,178,0,29,41,0
Broccoli frozen spears boiled drained,125 mL,97,27,114,3,5,1,2.3,tr,50,0.6,23,175,19,53,54,645,0,29,39,0
Brussels sprouts fresh or frozen boiled drained,4 sprouts,84,33,137,3,6,2,3.2,tr,26,0.7,15,255,16,47,36,428,0,68,45,0
Cabbage green shredded boiled drained,125 mL,79,17,73,1,4,2,1.3,tr,25,0.1,6,77,6,12,6,59,0,16,16,0
Cabbage green shredded raw,125 mL,37,9,37,1,2,1,0.7,tr,17,0.2,7,91,6,9,3,33,0,16,12,0
Cabbage napa shredded boiled drained,125 mL,58,7,29,1,1,N/A,N/A,tr,17,0.4,6,50,5,11,7,77,0,25,2,0
Cabbage red shredded raw,125 mL,37,11,48,1,3,1,0.8,tr,17,0.3,10,90,6,11,21,248,7,7,21,0
Carrots baby raw,8,80,28,117,1,7,4,1.4,tr,26,0.7,62,190,8,22,552,5113,0,26,7,0
Carrots fresh or frozen boiled drained,125 mL,77,28,116,1,6,3,1.9,tr,25,0.3,45,165,8,24,652,6333,1,10,2,0
Carrots raw,1 medium,61,25,104,1,6,3,1.5,tr,20,0.2,42,195,7,21,367,3522,1,12,4,0
Cauliflower pieces boiled drained,125 mL,66,15,63,1,3,1,1.8,tr,10,0.2,10,93,6,21,1,5,0,29,29,0
Cauliflower pieces raw,125 mL,53,13,55,1,3,1,0.9,tr,12,0.2,16,160,8,23,1,4,0,30,25,0
Celery raw,1 stalk,40,6,24,tr,1,1,0.6,tr,16,0.1,32,104,4,10,9,108,0,14,1,0
Corn sweet canned cream style,125 mL,135,97,407,2,25,4,1.8,1,4,0.5,385,181,23,69,5,41,0,61,6,0
Corn sweet canned niblets,125 mL,111,88,366,3,22,4,2.3,1,6,0.5,302,206,26,71,4,37,0,54,6,0
Corn sweet on or off cob fresh or frozen boiled drained,125 mL,87,82,343,3,19,3,2,1,2,0.5,8,209,26,79,7,50,0,35,4,0
Cucumber peeled raw,4 slices,28,3,14,tr,1,tr,0.2,tr,4,0.1,1,38,3,6,1,9,0,4,1,0
Edamame,125 mL,82,100,417,9,8,2,4.3,4,52,1.9,5,357,52,138,N/A,N/A,N/A,255,5,0
Eggplant pieces boiled drained,125 mL,52,18,76,tr,5,2,1.3,tr,3,0.1,1,64,6,8,1,12,0,7,1,0
Fiddleheads frozen boiled,125 mL,98,33,139,4,6,N/A,0.9,tr,27,1,tr,244,26,78,171,1911,N/A,N/A,22,0
Fireweed leaves raw,125 mL,12,13,52,1,2,N/A,1.3,tr,52,0.3,4,60,19,13,22,262,N/A,14,tr,0
Hearts of palm canned,2,66,18,77,2,3,N/A,1.6,tr,38,2.1,281,117,25,43,0,0,N/A,26,5,0
Kale chopped boiled drained,125 mL,69,19,80,1,4,1,1.4,tr,49,0.6,16,157,12,19,468,5613,0,9,28,0
Leeks chopped boiled drained,125 mL,55,17,71,tr,4,N/A,0.5,tr,16,0.6,5,48,8,9,1,15,N/A,13,2,0
Lettuce Boston shredded,250 mL,58,8,31,1,1,1,0.6,tr,20,0.7,3,138,8,19,96,1155,0,42,2,0
Lettuce iceberg shredded,250 mL,58,8,34,1,2,1,0.7,tr,10,0.2,6,82,4,12,15,174,0,17,2,0
Lettuce looseleaf shredded,250 mL,59,9,37,1,2,tr,0.8,tr,21,0.5,17,115,8,17,219,2629,0,22,11,0
Lettuce romaine shredded,250 mL,59,10,42,1,2,1,1.2,tr,20,0.6,5,146,8,18,172,2062,0,80,14,0
Lettuce spring mix (mesclun),250 mL,58,12,50,1,2,tr,1.1,tr,43,0.7,21,202,19,23,124,1489,0,62,9,0
Mushrooms pieces canned drained,125 mL,82,21,87,2,4,2,2.3,tr,9,0.7,350,106,12,54,0,0,0,10,1,0
Mushrooms portobello grilled,125 mL,85,30,124,4,4,0,1.9,1,3,0.5,9,443,13,128,0,0,0,16,0,0
Mushrooms raw,3 medium,54,12,50,2,2,1,0.6,tr,2,0.3,2,170,5,46,0,0,0,9,1,0.02
Mushrooms shiitake sliced stir-fried,125 mL,57,27,115,2,4,tr,2.1,tr,1,0.3,3,186,11,63,0,0,0,8,0,0
Mushrooms white sliced stir-fried,125 mL,57,15,62,2,2,0,1,tr,2,0.1,7,226,6,60,0,0,0,11,0,0
Onions green (scallion) raw,1 medium,15,5,20,tr,1,tr,0.4,tr,11,0.2,2,41,3,6,8,90,0,10,3,0
Onions yellow chopped raw,60 mL,41,17,71,tr,4,2,0.6,tr,9,0.1,1,58,4,11,0,tr,0,8,3,0
Onions yellow chopped sauteed,125 mL,46,61,254,tr,4,2,0.8,5,9,0.1,6,61,4,15,N/A,N/A,N/A,N/A,1,0
Parsnip sliced boiled drained,125 mL,82,59,245,1,14,4,2.7,tr,30,0.5,8,302,24,57,0,0,0,48,11,0
Peas green canned drained,125 mL,90,62,260,4,11,4,4,tr,18,0.9,226,155,15,60,24,287,0,40,9,0
Peas green frozen boiled drained,125 mL,85,66,276,4,12,4,3.7,tr,20,1.3,61,93,19,65,89,1057,0,50,8,0
Peas snowpeas boiled drained,125 mL,85,36,149,3,6,3,2.4,tr,36,1.7,3,203,22,46,44,505,0,25,40,0
Peas snowpeas raw,10,34,14,60,1,3,1,0.6,tr,15,0.7,1,68,8,18,18,214,0,14,20,0
Pepper jalapeno raw,1,14,4,18,tr,1,tr,0.4,tr,1,0.1,tr,30,3,4,6,64,0,7,6,0
Pepper sweet green raw,0.5,82,16,69,1,4,2,1.2,tr,8,0.3,2,144,8,16,15,171,0,9,66,0
Pepper sweet green sauteed,125 mL,74,95,396,1,3,2,1.3,9,6,0.2,13,100,6,11,8,101,0,1,132,0
Pepper sweet red raw,0.5,60,15,65,1,4,2,0.8,tr,4,0.3,1,126,7,15,93,966,183,11,113,0
Pepper sweet red sauteed,125 mL,74,99,413,1,5,3,1.3,9,5,0.4,16,144,9,17,98,1169,361,1,121,0
Pepper sweet yellow raw,0.5,93,25,105,1,6,N/A,0.8,tr,10,0.4,2,197,11,22,9,112,N/A,24,171,0
Pepper sweet yellow sauteed,125 mL,74,36,149,1,5,0,0.6,2,9,0.3,175,153,9,18,30,86,0,19,132,tr
Potato baked flesh,1,156,145,607,3,34,3,3.4,tr,8,0.5,8,610,39,78,0,0,0,14,20,0
Potato baked flesh and skin,1,173,161,673,4,37,2,3.8,tr,26,1.9,17,926,48,121,2,10,0,48,17,0
Potato boiled without skin,1,135,116,486,2,27,1,1.9,tr,11,0.4,7,443,27,54,0,3,0,12,10,0
Potato boiled flesh and skin,1,150,129,540,3,30,1,2.5,tr,13,1.3,7,572,34,67,0,0,0,15,18,0
Potato canned drained,4,140,84,351,2,19,N/A,1.3,tr,7,1.8,307,321,20,39,0,0,0,8,7,0
Potato microwaved flesh and skin,1,202,212,887,5,49,N/A,5.1,tr,22,2.5,16,903,55,212,0,0,0,24,31,0
Potato microwaved peeled after cooking,1,156,156,652,3,36,N/A,3.4,tr,8,0.6,11,641,39,170,0,0,0,19,24,0
Potatoes French fried frozen home-prepared in oven,20 strips,48,96,403,2,15,tr,1.6,4,4,0.6,14,201,11,40,0,1,0,6,5,0
Potatoes hashed brown plain frozen heated,125 mL,82,180,752,3,23,1,1.8,9,12,1.2,28,359,14,59,0,0,0,6,5,0
Potatoes mashed dried with 2% milk and margarine,125 mL,111,107,447,3,15,2,1.1,4,46,0.2,284,235,15,59,61,2,0,8,14,0.13
Potatoes mashed homemade with 2% milk and margarine,125 mL,111,116,487,2,19,N/A,2.2,4,29,0.3,327,321,20,51,19,N/A,0,9,7,0.06
Potatoes scalloped from mix with water with 2% milk and margarine,125 mL,129,120,502,3,16,2,1,5,66,0.4,420,243,17,81,64,1,0,8,3,0.11
Potatoes scalloped homemade,125 mL,129,111,466,4,14,N/A,2.5,5,74,0.7,434,489,25,82,N/A,83,0,16,14,0
Pumpkin canned,125 mL,129,44,184,1,10,4,3.8,tr,34,1.8,6,267,30,45,1007,8983,0,16,5,0
Radicchio chopped,125 mL,21,5,20,tr,1,tr,0.2,tr,4,0.1,5,64,3,8,tr,3,0,13,2,0
Radishes,3 medium,14,2,9,tr,tr,tr,0.2,tr,3,tr,5,31,1,3,0,1,0,3,2,0
Rutabaga (yellow turnip) diced boiled drained,125 mL,90,35,146,1,8,5,1.6,tr,43,0.5,18,293,21,50,13,1,0,13,17,0
Sauerkraut canned not drained,125 mL,75,14,59,1,3,1,1.9,tr,23,1.1,496,128,10,15,1,6,0,18,11,0
Seaweed dulse dried,60 mL,4,8,35,1,1,tr,0.1,tr,17,0.4,11,84,tr,14,62,740,N/A,35,9,0
Spinach boiled drained,125 mL,95,22,91,3,4,tr,2.3,tr,129,3.4,67,443,83,53,498,5980,0,139,9,0
Spinach chopped raw,250 mL,32,7,30,1,1,tr,0.7,tr,31,0.9,25,177,25,16,149,1783,0,61,9,0
Squash acorn cubed baked,125 mL,108,61,253,1,16,N/A,2.1,tr,48,1,4,473,47,49,23,277,N/A,21,12,0
Squash butternut cubed baked,125 mL,108,43,181,1,11,2,1.8,tr,44,0.6,4,308,31,29,413,4950,0,21,16,0
Squash spaghetti baked,125 mL,82,22,93,1,5,2,0.9,tr,17,0.3,15,96,9,11,5,48,0,7,3,0
Sweet potato baked peeled after cooking,0.5,57,51,214,1,12,5,1.9,tr,22,0.4,21,271,15,31,548,6560,0,3,11,0
Sweet potato boiled without skin,0.5,76,57,240,1,13,4,1.9,tr,20,0.5,20,174,14,24,594,7130,0,5,10,0
Swiss chard chopped boiled drained,125 mL,92,18,78,2,4,1,1.9,tr,54,2.1,165,508,80,31,283,3376,0,8,17,0
Tomatoes canned stewed,125 mL,135,35,147,1,8,6,1.4,tr,46,1.8,298,279,16,27,12,140,5436,7,11,0
Tomatoes canned whole,125 mL,127,22,90,1,5,3,1,tr,39,1.2,162,238,14,24,8,89,3423,10,18,0
Tomatoes raw,1,123,22,92,1,5,3,1.5,tr,12,0.3,6,292,14,30,52,552,3165,18,16,0
Tomatoes sun-dried,1 piece,2,5,22,tr,1,1,0.2,tr,2,0.2,42,69,4,7,1,10,815,1,1,0
Tomatoes sun-dried packed in oil drained,1 piece,3,6,27,tr,1,N/A,0.2,tr,1,0.1,8,47,2,4,2,23,N/A,1,3,0
Turnip (white turnip) cubed boiled drained,125 mL,82,18,76,1,4,2,1.6,tr,27,0.1,13,146,7,21,0,0,0,7,10,0
Vegetables Asian mix (broccoli carrots green beans mini corn snow peas sweet red pepper) frozen boiled drained,125 mL,74,29,122,1,6,2,1.8,tr,24,0.5,15,128,13,32,192,1878,tr,23,22,0
Vegetables broccoli and cauliflower frozen boiled drained,125 mL,95,22,93,2,4,1,2.4,tr,33,0.5,20,152,14,38,27,322,0,34,34,0
Vegetables mixed (corn lima beans snap beans peas carrots) frozen boiled drained,125 mL,96,63,262,3,13,3,2.8,tr,24,0.8,34,163,21,49,206,2002,0,18,3,0
Vegetables peas and carrots canned not drained,125 mL,135,51,214,3,11,N/A,2.7,tr,31,1,350,135,19,62,389,0,N/A,24,9,0
Zucchini raw slices,4,40,6,27,tr,1,1,0.4,tr,6,0.1,4,104,7,15,4,48,0,11,7,0
Zucchini sliced boiled drained,125 mL,95,15,64,1,4,2,1.3,tr,12,0.3,3,241,21,38,53,637,0,16,4,0
#Vegetable Juices and Other Products
Carrot juice,125 mL,125,50,208,1,12,5,1,tr,30,0.6,36,364,17,52,966,11599,2,5,11,0
Coleslaw with dressing homemade,125 mL,63,44,183,1,8,N/A,1,2,29,0.4,15,115,6,20,34,87,N/A,17,21,0
Potato salad homemade,125 mL,132,205,858,4,14,3,1.4,15,28,0.7,579,276,17,66,57,183,0,22,17,0.2
Tomato clam cocktail,125 mL,128,61,257,1,14,4,0.5,tr,10,0.2,462,114,6,14,9,163,3807,10,6,0.04
Tomato juice,125 mL,128,22,91,1,5,5,0.9,tr,13,0.6,345,294,14,23,30,347,11602,26,10,0
Tomato juice without added salt,125 mL,184,31,131,1,8,7,0.7,tr,18,0.8,18,421,20,33,42,N/A,16611,37,34,0
Tomato sauce for spaghetti canned,125 mL,132,143,600,2,21,N/A,1.9,6,37,0.9,652,505,32,47,82,967,N/A,28,15,0
Tomato sauce canned,125 mL,129,41,173,2,10,6,1.9,tr,17,1.3,678,428,21,34,22,271,19612,12,8,0
Vegetable juice cocktail,125 mL,128,24,101,1,6,4,0.7,tr,14,0.5,345,247,14,22,100,1061,12351,27,35,0
Vegetable juice cocktail low sodium,125 mL,128,28,118,1,6,5,1,tr,14,0.5,89,247,14,22,66,1061,12350,27,35,0
#Fruit
Apple with skin (7 cm.diam),1,138,72,300,tr,19,14,2.6,tr,8,0.2,1,148,7,15,4,37,0,4,6,0
Applesauce unsweetened,125 mL,129,55,232,tr,15,13,1.5,tr,4,0.2,3,97,4,9,1,17,0,1,13,0
Apricots dried,3,21,67,281,1,17,N/A,1.2,tr,13,1.3,3,389,13,33,133,0,0,1,2,0
Apricots raw,3,105,50,211,1,12,10,2.1,tr,14,0.4,1,272,11,24,101,1149,0,9,11,0
Avocado,0.5,101,161,672,2,9,1,6.7,15,12,0.6,7,487,29,52,7,62,0,81,10,0
Banana,1,118,105,439,1,27,14,2.1,tr,6,0.3,1,422,32,26,4,31,0,24,10,0
Blackberries,125 mL,76,33,137,1,7,4,4,tr,22,0.5,1,123,15,17,8,97,0,19,16,0
Blueberries frozen unsweetened,125 mL,82,42,174,tr,10,7,2.6,1,7,0.1,1,44,4,9,2,23,0,6,2,0
Blueberries raw,125 mL,77,44,182,1,11,8,2,tr,5,0.2,1,59,5,9,2,25,0,5,7,0
Cherries sweet,10,68,43,179,1,11,9,1.4,tr,9,0.2,0,151,7,14,2,26,0,3,5,0
Clementine,1,74,35,146,1,9,7,1.3,tr,22,0.1,1,131,7,16,N/A,N/A,N/A,18,36,0
Cranberries dried sweetened,60 mL,31,95,396,tr,25,20,1.8,tr,3,0.2,1,12,2,2,0,0,0,0,tr,0
Dates dried,3,25,70,294,1,19,16,2,tr,10,0.3,tr,163,11,15,0,1,0,5,tr,0
